ATCOCode,CommonName,Street,NptgLocalityCode,LocalityName,GridType,Longitude,Latitude,StopType,BusStopType,TimingStatus,Status
1980SNA90772,Henstead Road,Bedford Place,E0041969,Bedford Place,UKOS,-1.40609,50.91179,BCT,MKD,OTH,active
1980SNA90773,Henstead Road,Bedford Place,E0041969,Bedford Place,UKOS,-1.40634,50.91233,BCT,MKD,OTH,inactive
1980SNA90870,Henstead Road,Henstead Road,E0041969,Bedford Place,UKOS,-1.40664,50.91221,BCT,MKD,OTH,active
1980BITERNE0,Bitterne Rail Station,,E0041975,Bitterne,UKOS,-1.37698,50.91845,RSE,,,active
1980MBRK0,Millbrook (Hants) Rail Station,,E0042004,Millbrook,UKOS,-1.4341,50.91172,RSE,,,active
1980REDBDGE0,Redbridge (Hants) Rail Station,,E0042016,Redbridge,UKOS,-1.47016,50.91994,RSE,,,active
1980SHOLING0,Sholing Rail Station,,E0042023,Sholing,UKOS,-1.36452,50.89664,RSE,,,active
1980SOTNTQ0,Southampton Town Quay,,E0057247,Southampton,UKOS,-1.40583,50.89515,RSE,,,inactive
1980SOTON1,Southampton Central Rail Station,,E0057247,Southampton,UKOS,-1.41404,50.90722,RSE,,,active
1980SOTON0,Southampton Central Rail Station,,E0057247,Southampton,UKOS,-1.41392,50.90779,RSE,,,active
1980STDENYS0,St Denys Rail Station,,E0042026,St Denys,UKOS,-1.38819,50.92213,RSE,,,active
1980SWYTHLN0,Swaythling Rail Station,,E0042028,Swaythling,UKOS,-1.3762,50.94113,RSE,,,active
1980WOLSTON0,Woolston Rail Station,,E0042037,Woolston,UKOS,-1.37706,50.89892,RSE,,,active
1980SOP0,Southampton Passenger Ferry Terminal,,E0041983,Eastern Docks,UKOS,-1.4053,50.89439,FTD,,,active
1980SOV0,Southampton Vehicle Ferry Terminal,,E0041983,Eastern Docks,UKOS,-1.40628,50.8957,FTD,,,active
1980SN120040,Monks Way,Mansbridge Road,N0080446,Mansbridge,UKOS,-1.37143,50.94113,BCT,MKD,OTH,active
1980SN120791,Monks Way,Mansbridge Road,N0080446,Mansbridge,UKOS,-1.3716,50.94108,BCT,MKD,OTH,active
1980SN120793,Octavia Road,Mansbridge Road,N0080446,Mansbridge,UKOS,-1.3696,50.9407,BCT,MKD,OTH,active
1980SN120165,Octavia Road,Mansbridge Road,N0080446,Mansbridge,UKOS,-1.36923,50.94069,BCT,MKD,OTH,active
